Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Saint Lucia,LCA,1968,0.0,,5.885469,0.0
Saint Lucia,LCA,1972,0.0,,0.0,0.0
Saint Lucia,LCA,1973,0.0,,6.848846,5.4815545
Saint Lucia,LCA,1975,6.7114096,,0.0,0.0
Saint Lucia,LCA,1976,6.6225166,,0.0,0.0
Saint Lucia,LCA,1977,6.060606,,0.0,0.0
Saint Lucia,LCA,1979,0.0,,4.854369,0.0
Saint Lucia,LCA,1980,0.0,,0.0,4.7619047
Saint Lucia,LCA,1981,0.0,,5.700929,0.0
Saint Lucia,LCA,1983,0.0,,6.802721,23.255814
Saint Lucia,LCA,1986,0.0,,6.4935064,0.0
Saint Lucia,LCA,1987,0.0,,0.0,0.0
Saint Lucia,LCA,1988,0.0,,0.0,0.0
Saint Lucia,LCA,1989,0.0,,5.9108644,0.0
Saint Lucia,LCA,1990,0.0,,0.0,0.0
Saint Lucia,LCA,1991,0.0,,0.0,0.0
Saint Lucia,LCA,1992,0.0,,0.0,0.0
Saint Lucia,LCA,1993,6.300403,,0.0,0.0
Saint Lucia,LCA,1994,18.627756,,0.0,0.0
Saint Lucia,LCA,1995,6.1087356,,0.0,0.0
Saint Lucia,LCA,1996,0.0,0.0,0.0,0.0
Saint Lucia,LCA,1997,0.0,7.254262,0.0,7.254262
Saint Lucia,LCA,1998,0.0,0.0,5.697032,0.0
Saint Lucia,LCA,1999,0.0,5.7231154,7.5574365,0.0
Saint Lucia,LCA,2000,0.0,0.0,5.7783427,0.0
Saint Lucia,LCA,2001,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2002,11.43903,0.0,0.0,0.0
Saint Lucia,LCA,2003,5.7418466,0.0,0.0,0.0
Saint Lucia,LCA,2004,17.33002,0.0,0.0,0.0
Saint Lucia,LCA,2005,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2006,5.87268,0.0,10.150224,0.0
Saint Lucia,LCA,2008,5.9894586,0.0,0.0,10.758472
Saint Lucia,LCA,2009,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2010,0.0,0.0,11.101243,0.0
Saint Lucia,LCA,2011,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2012,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2013,6.9526525,8.455944,0.0,0.0
Saint Lucia,LCA,2014,7.2553144,0.0,0.0,0.0
Saint Lucia,LCA,2015,0.0,0.0,11.49954,0.0
Saint Lucia,LCA,2016,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2017,8.192021,0.0,0.0,0.0
Saint Lucia,LCA,2018,0.0,18.409426,0.0,9.204713
Saint Lucia,LCA,2019,0.0,0.0,0.0,0.0
Saint Lucia,LCA,2020,0.0,0.0,0.0,0.0
