Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Maldives,MDV,2000,0.0,0.0,0.0,0.0
Maldives,MDV,2001,0.0,0.0,0.0,0.0
Maldives,MDV,2002,0.0,0.0,0.0,0.0
Maldives,MDV,2003,0.0,0.0,0.0,0.0
Maldives,MDV,2004,0.0,0.0,5.935599,0.0
Maldives,MDV,2005,2.5157232,0.0,3.1031806,0.0
Maldives,MDV,2007,0.0,0.0,0.0,0.0
Maldives,MDV,2008,0.0,0.0,3.5676062,3.5676062
Maldives,MDV,2010,6.4842434,0.0,0.0,0.0
Maldives,MDV,2011,0.0,0.0,0.0,0.0
Maldives,MDV,2012,7.0947146,0.0,5.5196776,0.0
Maldives,MDV,2013,3.6845984,3.3848965,0.0,0.0
Maldives,MDV,2014,0.0,3.3601022,0.0,0.0
Maldives,MDV,2015,0.0,0.0,3.0144088,0.0
Maldives,MDV,2016,0.0,0.0,2.8534741,0.0
Maldives,MDV,2017,0.0,2.737401,6.6602283,0.0
Maldives,MDV,2018,0.0,0.0,0.0,0.0
Maldives,MDV,2019,0.0,0.0,0.0,0.0
Maldives,MDV,2020,0.0,0.0,0.0,0.0
Maldives,MDV,2021,0.0,0.0,0.0,0.0
