Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
French Guiana,GUF,1968,0.0,,0.0,0.0
French Guiana,GUF,1969,0.0,,0.0,0.0
French Guiana,GUF,1970,0.0,,0.0,0.0
French Guiana,GUF,1971,0.0,,0.0,0.0
French Guiana,GUF,1972,0.0,,0.0,0.0
French Guiana,GUF,1973,0.0,,0.0,0.0
French Guiana,GUF,1974,0.0,,0.0,0.0
French Guiana,GUF,1975,0.0,,38.809834,0.0
French Guiana,GUF,1976,0.0,,13.449899,0.0
French Guiana,GUF,1977,0.0,,0.0,0.0
French Guiana,GUF,1978,14.320493,,0.0,0.0
French Guiana,GUF,1979,0.0,,0.0,0.0
French Guiana,GUF,2001,0.0,0.0,5.604439,4.7501426
French Guiana,GUF,2002,0.0,0.0,5.415358,0.0
French Guiana,GUF,2003,4.9504952,0.0,0.0,0.0
French Guiana,GUF,2004,0.0,0.0,0.0,0.0
French Guiana,GUF,2005,0.0,0.0,17.90831,0.0
French Guiana,GUF,2006,4.441878,0.0,0.0,0.0
French Guiana,GUF,2007,4.4056745,3.9875588,0.0,0.0
French Guiana,GUF,2008,0.0,0.0,0.0,0.0
French Guiana,GUF,2009,0.0,0.0,3.9946473,0.0
French Guiana,GUF,2010,0.0,0.0,0.0,0.0
French Guiana,GUF,2011,3.8716922,0.0,3.5334442,0.0
French Guiana,GUF,2012,7.8299336,0.0,0.0,0.0
French Guiana,GUF,2013,7.5522995,3.4771724,0.0,0.0
French Guiana,GUF,2014,10.940919,0.0,0.0,0.0
French Guiana,GUF,2015,0.0,0.0,0.0,0.0
French Guiana,GUF,2016,0.0,0.0,0.0,0.0
