Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Cyprus,CYP,1999,2.8307762,5.3113327,0.0,0.0
Cyprus,CYP,2000,0.0,0.0,0.0,0.0
Cyprus,CYP,2004,3.5772417,0.0,2.4638128,0.0
Cyprus,CYP,2005,3.5969281,3.0135005,4.810815,0.0
Cyprus,CYP,2006,3.6276572,0.0,0.0,0.0
Cyprus,CYP,2007,7.48167,11.281589,2.2782676,0.0
Cyprus,CYP,2008,1.9214141,2.303829,0.0,0.0
Cyprus,CYP,2009,0.0,0.0,0.0,0.0
Cyprus,CYP,2010,0.0,0.0,0.0,0.0
Cyprus,CYP,2011,2.0996494,0.0,0.0,0.0
Cyprus,CYP,2012,4.3056126,0.0,2.5293403,0.0
Cyprus,CYP,2013,6.6301274,0.0,0.0,0.0
Cyprus,CYP,2014,0.0,0.0,2.1465216,0.0
Cyprus,CYP,2015,4.517018,0.0,0.0,0.0
Cyprus,CYP,2016,4.5491767,2.095821,0.0,0.0
Cyprus,CYP,2017,4.476376,4.0698385,2.3164234,0.0
Cyprus,CYP,2018,0.0,0.0,0.0,0.0
Cyprus,CYP,2019,6.533101,0.0,0.0,0.0
Cyprus,CYP,2020,2.1079702,0.0,2.6508324,0.0
Cyprus,CYP,2021,0.0,9.73236,0.0,0.0
Cyprus,CYP,2022,3.978516,0.0,0.0,0.0
