Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Iceland,ISL,1951,0.0,,13.333333,0.0
Iceland,ISL,1952,0.0,,9.708738,0.0
Iceland,ISL,1953,0.0,,18.181818,0.0
Iceland,ISL,1954,0.0,,6.3694267,0.0
Iceland,ISL,1955,13.888889,,7.832898,0.0
Iceland,ISL,1956,20.134228,,11.461318,5.4347825
Iceland,ISL,1957,6.329114,,5.8479533,0.0
Iceland,ISL,1958,6.060606,,5.4054055,0.0
Iceland,ISL,1959,11.235955,,7.075472,0.0
Iceland,ISL,1960,11.235955,,12.886598,0.0
Iceland,ISL,1961,5.4347825,,4.7619047,0.0
Iceland,ISL,1962,0.0,,5.376344,4.6511626
Iceland,ISL,1963,0.0,,0.0,0.0
Iceland,ISL,1964,10.050251,,0.0,0.0
Iceland,ISL,1965,0.0,,5.376344,0.0
Iceland,ISL,1966,4.8076925,,0.0,0.0
Iceland,ISL,1967,0.0,,4.796163,0.0
Iceland,ISL,1968,9.174312,,9.592326,4.3290043
Iceland,ISL,1969,9.009009,,5.5555553,4.3290043
Iceland,ISL,1970,4.424779,,8.733624,0.0
Iceland,ISL,1971,4.4052863,,6.0240965,4.385965
Iceland,ISL,1972,0.0,,4.385965,0.0
Iceland,ISL,1973,8.77193,,4.484305,0.0
Iceland,ISL,1974,0.0,,5.1813474,0.0
Iceland,ISL,1975,0.0,,0.0,4.716981
Iceland,ISL,1976,8.77193,,0.0,0.0
Iceland,ISL,1977,8.849558,,0.0,0.0
Iceland,ISL,1978,4.5045047,,5.3619304,0.0
Iceland,ISL,1979,0.0,,8.086253,0.0
Iceland,ISL,1980,4.784689,,0.0,0.0
Iceland,ISL,1981,4.878049,4.7393365,0.0,0.0
Iceland,ISL,1982,0.0,0.0,0.0,0.0
Iceland,ISL,1983,0.0,9.756098,4.878049,0.0
Iceland,ISL,1984,0.0,0.0,0.0,0.0
Iceland,ISL,1985,4.7619047,0.0,0.0,0.0
Iceland,ISL,1986,0.0,0.0,9.478673,0.0
Iceland,ISL,1987,14.285714,6.097561,0.0,0.0
Iceland,ISL,1988,0.0,6.1728396,0.0,0.0
Iceland,ISL,1989,0.0,4.587156,0.0,0.0
Iceland,ISL,1990,9.569378,0.0,0.0,0.0
Iceland,ISL,1991,0.0,0.0,0.0,0.0
Iceland,ISL,1992,0.0,0.0,0.0,0.0
Iceland,ISL,1993,0.0,5.4054055,0.0,0.0
Iceland,ISL,1994,0.0,0.0,0.0,0.0
Iceland,ISL,1995,0.0,0.0,0.0,0.0
Iceland,ISL,1996,9.708738,0.0,0.0,0.0
Iceland,ISL,1997,4.978592,4.4314456,4.4314456,0.0
Iceland,ISL,1998,0.0,0.0,5.7583785,0.0
Iceland,ISL,1999,0.0,8.754651,0.0,4.3773255
Iceland,ISL,2000,4.6731157,0.0,5.843852,0.0
Iceland,ISL,2001,4.4885316,0.0,0.0,0.0
Iceland,ISL,2002,8.755418,0.0,5.8924046,0.0
Iceland,ISL,2003,0.0,0.0,0.0,0.0
Iceland,ISL,2004,0.0,0.0,0.0,0.0
Iceland,ISL,2005,4.357868,4.6541934,0.0,0.0
Iceland,ISL,2006,0.0,0.0,0.0,0.0
Iceland,ISL,2007,4.4202805,4.711647,0.0,0.0
Iceland,ISL,2008,0.0,5.1211143,5.6303134,0.0
Iceland,ISL,2009,4.5314484,0.0,4.660484,0.0
Iceland,ISL,2010,4.582321,0.0,0.0,0.0
Iceland,ISL,2011,4.625775,21.312874,0.0,0.0
Iceland,ISL,2012,4.695056,0.0,0.0,0.0
Iceland,ISL,2013,0.0,0.0,0.0,0.0
Iceland,ISL,2014,0.0,0.0,0.0,0.0
Iceland,ISL,2015,4.6935134,0.0,0.0,0.0
Iceland,ISL,2016,0.0,0.0,0.0,0.0
Iceland,ISL,2017,0.0,0.0,0.0,0.0
Iceland,ISL,2018,0.0,5.896748,0.0,0.0
Iceland,ISL,2019,0.0,0.0,0.0,0.0
Iceland,ISL,2020,0.0,0.0,0.0,0.0
Iceland,ISL,2021,0.0,0.0,0.0,0.0
Iceland,ISL,2022,4.043018,5.557254,0.0,0.0
