Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Barbados,BRB,1960,7.751938,,3.5273368,0.0
Barbados,BRB,1961,15.503876,,3.30033,0.0
Barbados,BRB,1962,0.0,,3.2362459,0.0
Barbados,BRB,1963,3.558719,,0.0,0.0
Barbados,BRB,1964,0.0,,0.0,6.6445184
Barbados,BRB,1966,0.0,,0.0,8.0
Barbados,BRB,1967,0.0,,6.1919503,3.0959752
Barbados,BRB,1968,0.0,,0.0,3.0769231
Barbados,BRB,1969,0.0,,0.0,0.0
Barbados,BRB,1970,0.0,,0.0,0.0
Barbados,BRB,1971,9.771987,,4.608295,0.0
Barbados,BRB,1972,3.2467532,,4.5662103,3.1347961
Barbados,BRB,1973,3.2051282,,4.524887,0.0
Barbados,BRB,1974,3.1847134,,0.0,4.5045047
Barbados,BRB,1975,9.523809,,3.649635,0.0
Barbados,BRB,1976,3.215434,,0.0,4.032258
Barbados,BRB,1977,0.0,,5.376344,3.9215686
Barbados,BRB,1978,0.0,,6.8965516,0.0
Barbados,BRB,1979,10.638298,,4.2016807,0.0
Barbados,BRB,1980,10.989011,,5.882353,0.0
Barbados,BRB,1981,0.0,,4.237288,0.0
Barbados,BRB,1982,0.0,,3.8461537,0.0
Barbados,BRB,1983,7.490637,,3.8022814,0.0
Barbados,BRB,1984,0.0,,0.0,0.0
Barbados,BRB,1985,3.8461537,,4.5454545,0.0
Barbados,BRB,1986,3.816794,,4.5454545,4.5454545
Barbados,BRB,1987,3.7878788,,4.5045047,0.0
Barbados,BRB,1988,0.0,,0.0,0.0
Barbados,BRB,1989,9.090909,,0.0,0.0
Barbados,BRB,1990,9.090909,,4.5454545,0.0
Barbados,BRB,1991,9.523809,,5.882353,0.0
Barbados,BRB,1992,4.7619047,,5.0,10.0
Barbados,BRB,1993,0.0,,0.0,0.0
Barbados,BRB,1994,4.7393365,,6.451613,0.0
Barbados,BRB,1995,9.478673,,0.0,0.0
Barbados,BRB,2000,0.0,4.917146,0.0,0.0
Barbados,BRB,2001,0.0,0.0,4.969685,0.0
Barbados,BRB,2002,0.0,6.8348026,0.0,0.0
Barbados,BRB,2003,5.027147,8.678672,5.8675117,0.0
Barbados,BRB,2004,10.086746,27.847397,6.856829,0.0
Barbados,BRB,2005,10.141988,0.0,5.276488,0.0
Barbados,BRB,2006,0.0,13.673344,27.956388,0.0
Barbados,BRB,2007,5.1604915,0.0,0.0,0.0
Barbados,BRB,2008,5.211319,0.0,11.089548,0.0
Barbados,BRB,2009,5.250722,0.0,5.273149,0.0
Barbados,BRB,2010,15.79363,0.0,0.0,0.0
Barbados,BRB,2011,0.0,0.0,0.0,0.0
Barbados,BRB,2012,10.490427,0.0,0.0,0.0
Barbados,BRB,2013,10.460251,0.0,7.5705957,0.0
